Год,Топливо,Производство (добыча) первичной энергии с учетом запасов,Импорт,Экспорт,Валовое потребление ТЭР,Преобразование,Преобразование в тепловую и электрическую энергии,Переработка в другие виды топлива,Потребление в неэнергетическом секторе,Сырье для производства нетопливной продукции,Материалы на нетопливные нужды,Потери,Конечное потребление,Потребление в промышленности,горнодобывающая промышленность,обрабатывающая,"производство продуктов питания, напитков и табачных изделий","производство текстильных изделий, одежды, изделий из кожи и меха",производство изделий из дерева и бумаги; полиграфи-ческая деятельность и тиражирование записанных носителей информации,производство кокса и продуктов нефтепереработки,производство химических продуктов,"производство резиновых и пластмассовых изделий, прочих неметаллических минеральных продуктов","металлургическое производство, производство готовых металлических изделий, кроме машин и оборудования","производство машин и оборудования, не включенных в другие группировки",производство транспортных средств и оборудования,производство прочих готовых изделий,"снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",строительство,"Сельское, лесное и рыбное хозяйство",Транспорт,Сектор услуг,Жилищный сектор,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
2006.0,ТЭР- всего,55606.0,57388.0,23676.0,89318,47848.0,19529.0,28319.0,3977.0,3954.0,23.0,3079.0,34296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10371.0,,,,
2007.0,Нефть и газоконденсат,3117.0,28652.0,1217.0,30552,27662.0,1.0,27661.0,2364.0,2361.0,3.0,548.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-22.0
2007.0,Газ горючий (природный и попутный),393.0,23719.0,0.0,24112,17545.0,17502.0,43.0,1592.0,1587.0,5.0,213.0,4687.0,,,,,,,,,,,,,,,,,,,1662.0,,1662.0,1662.0,75.0
2007.0,Уголь,7.0,61.0,0.0,68,34.0,34.0,0.0,2.0,0.0,2.0,0.0,32.0,,,,,,,,,,,,,,,,,,,6.0,,6.0,6.0,0.0
2007.0,Торф топливный,752.0,0.0,0.0,752,663.0,72.0,591.0,1.0,0.0,1.0,62.0,26.0,,,,,,,,,,,,,,,,,,,3.0,,3.0,3.0,0.0
2007.0,Дрова,1376.0,0.0,0.0,1376,401.0,396.0,5.0,8.0,0.0,8.0,0.0,967.0,,,,,,,,,,,,,,,,,,,739.0,,739.0,739.0,0.0
2007.0,Прочие виды природного топлива,429.0,0.0,0.0,429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429.0,,,,,,,,,,,,,,,,,,,88.0,,88.0,88.0,0.0
2007.0,Топливные брикеты,687.0,0.0,133.0,554,88.0,88.0,0.0,0.0,0.0,0.0,0.0,466.0,,,,,,,,,,,,,,,,,,,372.0,,372.0,372.0,0.0
2007.0,Автомобильный бензин,4661.0,91.0,3122.0,1630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1630.0,,,,,,,,,,,,,,,,,,,824.0,,824.0,824.0,0.0
2007.0,Дизельное топливо,9566.0,1437.0,6605.0,4398,966.0,4.0,962.0,1.0,0.0,1.0,0.0,3431.0,,,,,,,,,,,,,,,,,,,579.0,,579.0,579.0,0.0
2007.0,Топочный мазут,8505.0,41.0,7425.0,1121,470.0,470.0,0.0,8.0,5.0,3.0,0.0,643.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0
2007.0,Сжиженный газ,710.0,79.0,385.0,404,0.0,0.0,0.0,2.0,2.0,0.0,2.0,400.0,,,,,,,,,,,,,,,,,,,319.0,,319.0,319.0,0.0
2007.0,Газ нефтепреработки,720.0,0.0,0.0,720,53.0,53.0,0.0,0.0,0.0,0.0,16.0,651.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0
2007.0,"Кокс, коксик и коксовая мелочь",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
2007.0,Топливо для реактивных двигателей,538.0,0.0,398.0,140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0
2007.0,Прочие виды продуктов переработки топлива,3588.0,82.0,3443.0,227,81.0,26.0,55.0,1.0,0.0,1.0,0.0,145.0,,,,,,,,,,,,,,,,,,,9.0,,9.0,9.0,0.0
